,fluxes
DB4PS,0.00044841790807440403
4HTHRS,0.0
OHPBAT,0.0
NADTRHD,-44.950745201456414
AOXSr2,0.0
OPMEACPD,0.0
AOXSr,0.0
AMAOTr,0.0
DBTS,0.0
PMEACPE,0.0
OGMEACPD,0.0
DXPRIi,0.0
MEPCT,0.0
OCTDPS,0.0
GRTT,0.0
MECDPS,0.0
CDPMEK,0.0
DMATT,0.0
SQLC,0.0
SQLC2,0.0
BDG2HCGHD,0.0
FALDtpc,30.0
NO3tex,18.30646271702713
NO3tcpp,18.30646271702713
NO2tcpp,15.591383043963825
NO2tep,0.0
N2Otep,-7.7956915219819125
N2Otcp,0.0
NOtep,0.0
NOtcp,0.0
Htep,0.0
Htcp,-62.715079673063315
N2tep,0.0
N2tcp,0.0
FORtep,0.0
FORtcp,0.0
PItcp,-0.39444455334245665
PItpe,0.39444455334245665
O2tcp,-5.0
O2tpe,35.0
NH4tep,0.0
NH4tcp,0.0
CO2tcp,17.784378937277765
CO2tep,-17.784378937277765
H2Otcp,36.7081710036991
H2Otep,-90.09524556964485
CH4tep,0.0
CH4tcp,30.0
PYRtep,0.0
PYRtcp,0.0
MEOHtcp,0.0
MEOHtep,0.0
ACtcp,0.0
ACtep,0.0
SUCCtcp,0.0
SUCCtep,0.0
LACtcp,0.0
LACtep,0.0
GLYCtep,-0.001314138320127293
GLYCtcp,0.001314138320127293
Mg2tep,-0.023779544860496934
Mg2tcp,0.023779544860496934
Ca2tep,-0.0033970899490877657
Ca2tcp,0.0033970899490877657
H2tce,0.0
cobalt2tce,0.0003397089949087766
Cutce,0.0033970899490877657
Fetce,0.0020790092140000912
Biomass_reaction,0.42391558713783645
DM_mko_biomass_c,0.42391558713783645
EX_no3_e,-18.30646271702713
EX_no2_e,0.0
EX_n2o_e,7.7956915219819125
EX_no_e,0.0
EX_h2o_e,90.09524556964485
EX_h_e,0.0
EX_n2_e,0.0
EX_for_e,0.0
EX_pi_e,-0.39444455334245665
EX_o2_e,-35.0
EX_nh4_e,0.0
EX_co2_e,17.784378937277765
EX_ch4_e,-30.0
EX_pyr_e,0.0
