,fluxes
R05808,0.0
R05807,0.0
R05731,0.0
R05705,1.0938950570358691e-05
R05703,0.0
R05692,0.0
R05688,0.035968857887900926
R05681,0.0
R05662,0.0
R05647,0.0
R05646,0.0
R05645,0.0
R05644,0.0
R05640,0.00032885103813330154
R05639,0.00032885103813330154
R05637,0.035968857887900926
R05636,0.035968857887900926
R05634,0.035968857887900926
R05633,0.035968857887900926
R05630,0.0026370130416349656
R05629,0.0
R05627,0.0026370130416349656
R05615,0.0
R05614,0.0
R05605,0.466107847652689
R05591,0.0
R05553,0.0
R05496,0.0
R05339,6.846251816824254
R05338,6.846251816824254
R05332,0.005472577653463622
R05234,0.0
R05233,0.0
R05225,0.0
R05224,0.0
R05223,0.0
R05222,0.0
R05221,0.0
R05220,0.0
R05185,0.0
R05181,0.0
R05180,0.0
R05177,0.0
R05149,0.0
R05086,0.0
R05085,0.0
R05074,9.927578509684576e-05
R05071,0.0
R05070,0.019149057997867834
R05069,0.019149057997867834
R05068,-0.019149057997867834
R05053,0.0
R05052,0.0
R05048,0.0
R05046,0.0
R05032,0.0026370130416349656
R05000,0.0
R04993,0.0
R04990,0.0
R04989,0.0
R04988,0.0
R04986,0.0
R04985,0.0
R04972,0.0
R04970,-0.015704188255007287
R04969,0.0
R04968,0.015704188255007287
R04967,-0.02117676590847091
R04966,0.0
R04965,0.02157386904885829
R04964,-0.02157386904885829
R04963,0.02157386904885829
R04962,0.0
R04961,-0.02157386904885829
R04960,0.02157386904885829
R04959,0.0
R04958,-0.02157386904885829
R04957,0.02157386904885829
R04956,0.0
R04955,-0.02157386904885829
R04954,0.02157386904885829
R04953,-0.02157386904885829
R04952,0.02157386904885829
R04941,0.0
R04929,0.0
R04880,0.0
R04779,0.0
R04726,0.02157386904885829
R04725,0.0
R04724,-0.02157386904885829
R04658,9.927578509684576e-05
R04657,9.927578509684576e-05
R04640,0.006582605025577728
R04639,0.0
R04620,0.0
R04617,0.0026370130416349656
R04606,9.927578509684576e-05
R04594,0.0
R04591,0.015142499265158371
R04587,0.00019855157019369151
R04573,0.0
R04568,0.02117676590847091
R04567,0.00019855157019369151
R04566,-0.02157386904885829
R04560,0.0217251042907361
R04559,0.015142499265158371
R04558,0.006582605025577728
R04550,0.00019855157019369151
R04549,9.927578509684576e-05
R04544,0.015704188255007287
R04543,-0.015704188255007287
R04537,0.02157386904885829
R04536,-0.02157386904885829
R04535,0.02157386904885829
R04534,-0.02157386904885829
R04533,-0.02157386904885829
R04509,0.0
R04475,-0.02133684811193957
R04463,0.015142499265158371
R04457,6.563370342215215e-05
R04441,0.0
R04440,0.0
R04430,-0.02157386904885829
R04429,0.0
R04428,0.02157386904885829
R04426,0.01944812630047208
R04425,0.0
R04420,0.0
R04405,0.0
R04391,0.0
R04378,0.0
R04365,0.02133684811193957
R04355,0.0
R04326,0.0
R04325,0.015142499265158371
R04292,0.0002983311799001155
R04286,0.0
R04231,1.5911178266942746e-05
R04230,0.0
R04208,0.015142499265158371
R04199,0.02133684811193957
R04198,0.0
R04173,0.0
R04148,0.0
R04144,0.015142499265158371
