Kegg_ID	ModelSeed_ID
R00221	rxn00166
R00224	rxn00168
R00227	rxn00170
R00228	rxn00171
R00229	rxn00172
R00230	rxn00173
R00233	rxn00174
R00235	rxn00175
R00236	rxn00176
R00237	rxn00177
R00238	rxn00178
R00239	rxn00179
	rxn00180
R00241	rxn00181
R00243	rxn00182
R00245	rxn00183
R00248	rxn00184
R00250	rxn00185
R00251	rxn00186
R00253	rxn00187
R00254	rxn00188
R00256	rxn00189
R00257	rxn00190
R00258	rxn00191
R00259	rxn00192
R00260	rxn00193
R00261	rxn00194
R00262	rxn00195
R00264	rxn00196
R00265	rxn00197
R00267	rxn00198
R00268	rxn00199
R00269	rxn00200
R00270	rxn00201
R00271	rxn00202
R00272	rxn00203
R00273	rxn00204
R00274	rxn00205
R00275	rxn00206
R00276	rxn00207
R00277	rxn00208
R00278	rxn00209
R00279	rxn00210
R00286	rxn00211
R00287	rxn00212
R00289	rxn00213
R00291	rxn00214
R00293	rxn00215
R00299	rxn00216
R00300	rxn00217
R00301	rxn00218
R00302	rxn00219
R00303	rxn00220
R00304	rxn00221
R00306	rxn00222
R00307	rxn00223
R00310	rxn00224
R00315	rxn00225
R00316	rxn00226
R00317	rxn00227
R00318	rxn00228
R00319	rxn00229
R00320	rxn00230
R00321	rxn00231
R00322	rxn00232
R00324	rxn00233
R00325	rxn00234
R00327	rxn00235
R00328	rxn00236
R00330	rxn00237
R00331	rxn00238
R00332	rxn00239
R00333	rxn00240
R00335	rxn00241
R00336	rxn00242
R00337	rxn00243
R00338	rxn00244
R00339	rxn00245
R00341	rxn00247
R00342	rxn00248
R00343	rxn00249
R00344	rxn00250
R00345	rxn00251
R00346	rxn00252
R00347	rxn00253
R00348	rxn00254
R00350	rxn00255
R00351	rxn00256
R00352	rxn00257
R00353	rxn00258
R00354	rxn00259
R00355	rxn00260
	rxn00261
R00357	rxn00262
R00359	rxn00263
R00360	rxn00264
R00362	rxn00265
R00363	rxn00266
R00364	rxn00267
R00365	rxn00268
R00366	rxn00269
R00367	rxn00270
R00368	rxn00271
R00369	rxn00272
	rxn00273
R00371	rxn00274
R00372	rxn00275
R00373	rxn00276
	rxn00277
R00396	rxn00278
R00397	rxn00279
R00398	rxn00280
	rxn00281
R00400	rxn00282
R00401	rxn00283
R00402	rxn00284
R00405	rxn00285
R00406	rxn00286
R00407	rxn00287
R00408	rxn00288
R00409	rxn00289
R00410	rxn00290
R00411	rxn00291
R00414	rxn00292
R00416	rxn00293
R00418	rxn00295
R00419	rxn00296
R00420	rxn00297
R00421	rxn00298
R00424	rxn00299
R00425	rxn00300
R00426	rxn00301
R00428	rxn00302
R00429	rxn00303
R00430	rxn00304
R00431	rxn00305
R00432	rxn00306
R00434	rxn00307
R00445	rxn00308
R00446	rxn00309
R00447	rxn00310
R00448	rxn00311
R00449	rxn00312
R00451	rxn00313
R00452	rxn00314
R00453	rxn00315
R00454	rxn00316
R00457	rxn00317
R00458	rxn00318
R10277	rxn00319
R00460	rxn00320
R00461	rxn00321
R00462	rxn00322
R00463	rxn00323
R00465	rxn00324
R00466	rxn00325
R00468	rxn00326
R00469	rxn00327
R00470	rxn00328
R00472	rxn00330
R00473	rxn00331
R00474	rxn00332
R00475	rxn00333
R00477	rxn00334
R00478	rxn00335
R00479	rxn00336
R00480	rxn00337
R00481	rxn00338
R00482	rxn00339
R00483	rxn00340
R00484	rxn00341
R00485	rxn00342
R00486	rxn00343
R00487	rxn00344
R00488	rxn00345
R00489	rxn00346
R00490	rxn00347
R00491	rxn00348
	rxn00349
R00494	rxn00350
R00497	rxn00351
R00499	rxn00352
	rxn00353
R00501	rxn00354
R00502	rxn00355
R00503	rxn00356
R00504	rxn00357
R00505	rxn00358
R00507	rxn00359
R00508	rxn00360
R00509	rxn00361
R00510	rxn00362
R00511	rxn00363
R00512	rxn00364
R00513	rxn00365
R00514	rxn00366
R00515	rxn00367
R00516	rxn00368
R00517	rxn00369
R00518	rxn00370
R00519	rxn00371
R00521	rxn00372
R00522	rxn00373
R00524	rxn00374
R00525	rxn00375
R00526	rxn00376
R00527	rxn00377
R00528	rxn00378
R00529	rxn00379
R00530	rxn00380
R00531	rxn00381
R00532	rxn00382
R00533	rxn00383
R00534	rxn00384
R00535	rxn00385
R00536	rxn00386
R00537	rxn00387
R00540	rxn00388
R00545	rxn00389
R00546	rxn00390
R00548	rxn00391
R00549	rxn00392
R00550	rxn00393
R00551	rxn00394
R00552	rxn00395
R00554	rxn00396
	rxn00397
	rxn00398
	rxn00399
R00558	rxn00400
R00559	rxn00401
R00562	rxn00402
R00563	rxn00403
R00565	rxn00404
R00566	rxn00405
R00567	rxn00406
R00568	rxn00407
R00569	rxn00408
R00570	rxn00409
R00571	rxn00410
R00572	rxn00411
R00573	rxn00412
R00574	rxn00413
R00575	rxn00414
R00576	rxn00415
R00578	rxn00416
R00579	rxn00417
	rxn00418
R00581	rxn00419
R00582	rxn00420
R00584	rxn00421
R00585	rxn00422
R00586	rxn00423
R00588	rxn00424
R00589	rxn00425
R00590	rxn00426
R00602	rxn00427
R00603	rxn00428
R00604	rxn00429
R00605	rxn00430
	rxn00431
R00608	rxn00432
R00610	rxn00433
R00612	rxn00434
R00614	rxn00435
R00615	rxn00436
R00616	rxn00437
R00617	rxn00438
R00618	rxn00439
R00619	rxn00440
R00621	rxn00441
	rxn00442
R00640	rxn00443
R00644	rxn00444
R00643	rxn00445
	rxn00447
R00646	rxn00448
R00647	rxn00449
R00648	rxn00450
R00649	rxn00451
R00650	rxn00452
R00651	rxn00453
R00652	rxn00454
R00653	rxn00455
R00654	rxn00456
R00655	rxn00457
R00656	rxn00458
R00658	rxn00459
R00659	rxn00460
R00660	rxn00461
R00661	rxn00462
R00662	rxn00463
R00664	rxn00464
R00665	rxn00465
R00666	rxn00466
R00667	rxn00467
R00668	rxn00468
R00669	rxn00469
R00670	rxn00470
R00671	rxn00471
R00672	rxn00472
R00673	rxn00473
R00674	rxn00474
R00675	rxn00475
R00676	rxn00476
R00677	rxn00477
R00678	rxn00478
R00679	rxn00479
R00681	rxn00480
R00682	rxn00481
R00683	rxn00482
R00684	rxn00483
R00685	rxn00484
R00686	rxn00485
R00687	rxn00486
R00688	rxn00487
R00689	rxn00488
R00698	rxn00489
R00691	rxn00490
R00692	rxn00491
R00693	rxn00492
R00694	rxn00493
R00695	rxn00494
R00697	rxn00495
	rxn00496
R00699	rxn00497
R00702	rxn00498
R00703	rxn00499
R00704	rxn00500
R00705	rxn00501
R00706	rxn00502
R00707	rxn00503
R00708	rxn00504
R00709	rxn00505
R00710	rxn00506
R00711	rxn00507
R00713	rxn00508
R00714	rxn00509
R00715	rxn00510
R00716	rxn00511
R00717	rxn00512
R00719	rxn00513
R00720	rxn00514
R00722	rxn00515
R00723	rxn00516
R00724	rxn00517
R00725	rxn00518
R00726	rxn00519
R00727	rxn00520
R00728	rxn00521
R00729	rxn00522
R00730	rxn00523
R00731	rxn00524
R00732	rxn00525
R00733	rxn00526
R00734	rxn00527
R00735	rxn00528
R00736	rxn00529
R00737	rxn00530
R00739	rxn00531
R00740	rxn00532
R00742	rxn00533
R00743	rxn00534
	rxn00535
R00746	rxn00536
R00747	rxn00537
R00748	rxn00538
R00749	rxn00539
R00750	rxn00540
R00751	rxn00541
R00753	rxn00542
R00754	rxn00543
R00755	rxn00544
R00756	rxn00545
R00758	rxn00546
R00760	rxn00547
R00761	rxn00548
R00762	rxn00549
R00763	rxn00550
R00764	rxn00551
R00765	rxn00552
R06073	rxn00553
R00767	rxn00554
R00768	rxn00555
R00769	rxn00556
R00770	rxn00557
R00771	rxn00558
R00772	rxn00559
R00774	rxn00560
R00775	rxn00561
R00776	rxn00562
R00777	rxn00563
R00778	rxn00564
R00781	rxn00565
R00782	rxn00566
R00783	rxn00567
R00787	rxn00568
R00789	rxn00569
R00793	rxn00570
R00794	rxn00571
R00796	rxn00572
R00799	rxn00573
	rxn00574
R00801	rxn00575
R06034	rxn00577
R00805	rxn00578
R00806	rxn00579
R00807	rxn00580
R06130	rxn00581
R06217	rxn00582
R00812	rxn00583
R00813	rxn00584
R00814	rxn00585
R00815	rxn00586
R00816	rxn00587
R00817	rxn00588
R00818	rxn00589
	rxn00590
	rxn00591
R00821	rxn00592
R00822	rxn00593
R00823	rxn00594
R00825	rxn00595
R07330	rxn00596
	rxn00597
R00829	rxn00598
R00830	rxn00599
	rxn00600
R00832	rxn00601
R00833	rxn00602
R00834	rxn00603
R00835	rxn00604
R00836	rxn00605
R06113	rxn00606
R06115	rxn00607
R00839	rxn00608
	rxn00609
R00841	rxn00610
R00842	rxn00611
R00844	rxn00612
R00845	rxn00613
R00846	rxn00614
R00847	rxn00615
R00848	rxn00616
R00850	rxn00617
R00853	rxn00618
R00854	rxn00619
R00855	rxn00620
R00856	rxn00621
R00857	rxn00622
R00858	rxn00623
R00863	rxn00624
R00864	rxn00625
R00865	rxn00626
R00866	rxn00627
R00868	rxn00629
R00870	rxn00630
R00871	rxn00631
R00872	rxn00632
R00874	rxn00633
R00875	rxn00634
R00876	rxn00635
R00877	rxn00636
R00880	rxn00638
R00881	rxn00639
R00883	rxn00640
R00885	rxn00641
R00888	rxn00642
R00889	rxn00643
R00892	rxn00644
R00893	rxn00645
R00894	rxn00646
R00895	rxn00647
R00897	rxn00649
R00899	rxn00650
R00901	rxn00651
R00903	rxn00652
R00904	rxn00653
R00905	rxn00654
R00906	rxn00655
R00907	rxn00656
R00908	rxn00657
R00909	rxn00658
R00910	rxn00659
R00911	rxn00660
R00912	rxn00661
R00913	rxn00662
	rxn00663
R00915	rxn00664
R00916	rxn00665
	rxn00666
	rxn00667
R00919	rxn00668
R00920	rxn00669
R00921	rxn00670
R00922	rxn00671
R00923	rxn00672
R00924	rxn00673
R00925	rxn00674
R00926	rxn00675
R00927	rxn00676
R00928	rxn00677
R00930	rxn00678
R00931	rxn00679
R00932	rxn00680
	rxn00681
R00934	rxn00682
R00936	rxn00684
	rxn00685
R00939	rxn00686
	rxn00687
R00941	rxn00688
R00942	rxn00689
R00943	rxn00690
R00944	rxn00691
R00945	rxn00692
R00946	rxn00693
R00948	rxn00695
R00949	rxn00696
R00951	rxn00697
R06056	rxn00698
R00953	rxn00699
R00954	rxn00700
R00955	rxn00701
R00956	rxn00702
R00957	rxn00703
R00959	rxn00704
R00960	rxn00705
R00961	rxn00706
R00962	rxn00707
R00963	rxn00708
R00964	rxn00709
R00965	rxn00710
R00966	rxn00711
R00967	rxn00712
R00968	rxn00713
R00969	rxn00714
R00970	rxn00715
R00973	rxn00716
R00974	rxn00717
R00975	rxn00718
R00977	rxn00719
R00978	rxn00720
R00979	rxn00721
R00980	rxn00722
R00982	rxn00723
R00983	rxn00724
R00984	rxn00725
R00985	rxn00726
R00986	rxn00727
R00987	rxn00728
R00988	rxn00729
R00989	rxn00730
R00990	rxn00731
R00991	rxn00732
	rxn00733
	rxn00734
R00994	rxn00735
R00995	rxn00736
R00996	rxn00737
R00997	rxn00738
R00998	rxn00739
R00999	rxn00740
R01000	rxn00741
R01001	rxn00742
R01010	rxn00743
R01011	rxn00744
R01012	rxn00745
R01014	rxn00746
R01015	rxn00747
R01016	rxn00748
R01019	rxn00749
	rxn00750
R01021	rxn00751
R01022	rxn00752
R01023	rxn00753
R01026	rxn00754
R01027	rxn00755
R01028	rxn00756
R01029	rxn00757
R01030	rxn00758
	rxn00759
	rxn00760
	rxn00761
R01034	rxn00762
R01036	rxn00763
R01039	rxn00764
R01041	rxn00765
R01043	rxn00766
R01044	rxn00767
R01047	rxn00768
R01048	rxn00769
R01049	rxn00770
R01050	rxn00771
R01051	rxn00772
R01052	rxn00773
R01053	rxn00774
R01054	rxn00775
R01055	rxn00776
R01056	rxn00777
R01057	rxn00778
R01058	rxn00779
R01059	rxn00780
R01061	rxn00781
R01063	rxn00782
R01064	rxn00783
R01066	rxn00784
R01067	rxn00785
R01068	rxn00786
R01069	rxn00787
R01071	rxn00789
R01072	rxn00790
R01073	rxn00791
R01074	rxn00792
R01075	rxn00793
R01076	rxn00794
R01077	rxn00795
	rxn00796
R01080	rxn00797
R01081	rxn00798
R01082	rxn00799
R01083	rxn00800
R01085	rxn00801
R01086	rxn00802
R01087	rxn00803
R01088	rxn00804
R01089	rxn00805
R01090	rxn00806
R01091	rxn00807
R01092	rxn00808
	rxn00809
R01094	rxn00810
	rxn00811
R01096	rxn00812
R01097	rxn00813
R01098	rxn00814
R01099	rxn00815
R01100	rxn00816
R01101	rxn00817
R06070	rxn00818
R01104	rxn00819
	rxn00820
R01108	rxn00821
R01109	rxn00822
R01111	rxn00824
R01113	rxn00826
R01117	rxn00827
R01118	rxn00828
R01121	rxn00829
R01123	rxn00830
R01126	rxn00831
R01127	rxn00832
R01128	rxn00833
R01130	rxn00834
R01131	rxn00835
R01132	rxn00836
R01134	rxn00837
R01135	rxn00838
R01137	rxn00839
R01138	rxn00840
R01139	rxn00841
R01140	rxn00842
R01142	rxn00843
R01143	rxn00844
R01144	rxn00845
R01145	rxn00846
	rxn00847
R01147	rxn00848
R01148	rxn00849
R01149	rxn00850
R01150	rxn00851
R01151	rxn00852
R01152	rxn00853
R01153	rxn00854
R01154	rxn00855
R01155	rxn00856
R01156	rxn00857
R01157	rxn00858
R01158	rxn00859
R01159	rxn00860
R01160	rxn00861
R01161	rxn00862
R01163	rxn00863
R01164	rxn00864
R01166	rxn00865
R01167	rxn00866
R01168	rxn00867
R01171	rxn00868
R01172	rxn00869
R01173	rxn00870
R01174	rxn00871
R01175	rxn00872
R01176	rxn00873
R01177	rxn00874
R01179	rxn00875
R01180	rxn00876
R01181	rxn00877
R01182	rxn00878
R01183	rxn00879
R01184	rxn00880
R01185	rxn00881
R01186	rxn00882
R01187	rxn00883
R01188	rxn00884
R01189	rxn00885
R01190	rxn00886
	rxn00887
R06214	rxn00888
R01193	rxn00889
R01194	rxn00890
R01200	rxn00891
R01201	rxn00892
R01202	rxn00893
R01203	rxn00894
R01204	rxn00895
R01205	rxn00896
R01207	rxn00897
R01209	rxn00898
R01210	rxn00899
R01211	rxn00900
R01212	rxn00901
R01213	rxn00902
R01214	rxn00903
R01215	rxn00904
R01216	rxn00905
R01218	rxn00906
R01220	rxn00907
R01221	rxn00908
	rxn00909
R01224	rxn00910
R01225	rxn00911
R01226	rxn00912
R01227	rxn00913
R01228	rxn00914
R01229	rxn00915
R01230	rxn00916
R01231	rxn00917
R01232	rxn00918
R01233	rxn00919
R01234	rxn00920
R01238	rxn00921
R01239	rxn00922
R01240	rxn00923
R01241	rxn00924
R01243	rxn00925
R01244	rxn00926
R01245	rxn00927
R01246	rxn00928
R01248	rxn00929
R01249	rxn00930
R01251	rxn00931
R01252	rxn00932
R01255	rxn00933
R01256	rxn00934
R01257	rxn00935
R01266	rxn00936
R01267	rxn00937
R01268	rxn00938
R01269	rxn00939
R01270	rxn00940
R01271	rxn00941
R01273	rxn00942
R01274	rxn00943
R01277	rxn00944
R01278	rxn00945
R01279	rxn00946
R01280	rxn00947
R01281	rxn00948
R01283	rxn00949
R01285	rxn00950
R01287	rxn00952
R01289	rxn00953
	rxn00955
R01110	rxn00956
R01293	rxn00957
R01294	rxn00958
R01295	rxn00959
R01296	rxn00960
R01297	rxn00961
R01298	rxn00962
R01299	rxn00963
R01300	rxn00964
R01301	rxn00965
R01302	rxn00966
R01304	rxn00967
R01305	rxn00968
	rxn00969
R01308	rxn00970
R01322	rxn00971
R01323	rxn00972
R01324	rxn00973
R01325	rxn00974
R01326	rxn00975
R01327	rxn00976
R06142	rxn00977
R01330	rxn00978
R01333	rxn00979
R01334	rxn00980
R01336	rxn00981
R01349	rxn00982
R01351	rxn00983
R01352	rxn00984
R01353	rxn00985
R01354	rxn00986
R01355	rxn00987
R01357	rxn00988
R01358	rxn00989
R01359	rxn00990
R01360	rxn00991
R01361	rxn00992
R01364	rxn00993
R01365	rxn00994
R01366	rxn00995
R01367	rxn00996
R01370	rxn00997
R01371	rxn00998
R01372	rxn00999
R01373	rxn01000
R01375	rxn01001
R01376	rxn01002
R01377	rxn01003
R01378	rxn01004
R01381	rxn01005
R01384	rxn01007
R01385	rxn01008
R01386	rxn01009
R01387	rxn01010
R01388	rxn01011
R01390	rxn01012
R01392	rxn01013
R01393	rxn01014
R01394	rxn01015
R01395	rxn01016
R01396	rxn01017
R01397	rxn01018
R01398	rxn01019
R01399	rxn01020
R01401	rxn01021
R01402	rxn01022
R01408	rxn01023
R01408	rxn01024
R01411	rxn01025
R01412	rxn01026
R01414	rxn01027
R01415	rxn01028
R01416	rxn01029
R01417	rxn01030
R01418	rxn01031
R01486	rxn01032
R01420	rxn01033
R01421	rxn01034
R01422	rxn01035
R01423	rxn01036
R01424	rxn01037
R01425	rxn01038
R01426	rxn01039
R01427	rxn01040
R01429	rxn01041
R01430	rxn01042
R01431	rxn01043
R01432	rxn01044
R01434	rxn01045
R01437	rxn01046
R01438	rxn01047
R01440	rxn01048
R01441	rxn01049
R01442	rxn01050
R06105	rxn01051
R01445	rxn01052
R01446	rxn01053
R01447	rxn01054
	rxn01055
R01449	rxn01056
R01450	rxn01057
R01451	rxn01058
	rxn01059
R01453	rxn01060
	rxn01061
R01456	rxn01062
R01457	rxn01063
R01459	rxn01064
R01460	rxn01065
R01462	rxn01066
R01463	rxn01067
R01465	rxn01068
R01466	rxn01069
R01467	rxn01070
R01468	rxn01071
R01469	rxn01072
R01470	rxn01073
R01471	rxn01074
R01473	rxn01075
R01476	rxn01076
	rxn01077
R01480	rxn01078
R01481	rxn01079
R01482	rxn01080
R01483	rxn01081
R01484	rxn01082
R01485	rxn01083
R01492	rxn01084
R01493	rxn01085
R01495	rxn01087
R01497	rxn01088
R01498	rxn01089
R06277	rxn01090
R03617	rxn01091
R01503	rxn01092
R01504	rxn01093
R01505	rxn01094
R01506	rxn01095
R01507	rxn01096
	rxn01097
	rxn01098
R01511	rxn01099
R01512	rxn01100
R01513	rxn01101
R01514	rxn01102
R01515	rxn01103
R01516	rxn01104
R01517	rxn01105
R01518	rxn01106
R01519	rxn01107
R01520	rxn01108
R01521	rxn01109
R01522	rxn01110
R01523	rxn01111
R01524	rxn01112
R01525	rxn01113
R01526	rxn01114
R01528	rxn01115
R01529	rxn01116
R01530	rxn01117
R01533	rxn01118
R01535	rxn01119
R01536	rxn01120
R01538	rxn01121
R01540	rxn01122
R01541	rxn01123
R01542	rxn01124
R01543	rxn01125
R01544	rxn01126
R01547	rxn01127
R01548	rxn01128
R01549	rxn01129
R01550	rxn01130
R01553	rxn01131
R06040	rxn01132
R01556	rxn01133
R06218	rxn01134
R01558	rxn01135
R01559	rxn01136
R01560	rxn01137
R01561	rxn01138
R01562	rxn01139
R01563	rxn01140
R01564	rxn01141
R01566	rxn01142
R01567	rxn01143
R01568	rxn01144
R01569	rxn01145
R01570	rxn01146
R01571	rxn01147
R01573	rxn01148
R01574	rxn01149
R01575	rxn01150
R01576	rxn01151
R01577	rxn01152
R01579	rxn01153
R01580	rxn01154
R01581	rxn01155
R01582	rxn01156
R01583	rxn01157
R01584	rxn01158
R01585	rxn01159
R01586	rxn01160
R01587	rxn01161
R01589	rxn01162
R01590	rxn01163
R01593	rxn01164
R01594	rxn01165
R01595	rxn01166
R01596	rxn01167
R01598	rxn01168
R01600	rxn01169
R00534	rxn01170
R01602	rxn01171
R01604	rxn01172
R01607	rxn01173
R01608	rxn01174
R01609	rxn01175
R05378	rxn01176
R01611	rxn01177
	rxn01178
R01613	rxn01179
R01614	rxn01180
R01615	rxn01181
R01616	rxn01182
R01617	rxn01183
R01618	rxn01184
R01619	rxn01185
R01620	rxn01186
R01621	rxn01187
R01627	rxn01188
R01628	rxn01189
R01629	rxn01190
R01630	rxn01191
R01631	rxn01192
R01632	rxn01193
R01633	rxn01194
R01634	rxn01195
R01635	rxn01196
R01636	rxn01197
R01637	rxn01198
R01639	rxn01199
R01641	rxn01200
R01644	rxn01201
R01645	rxn01202
R01647	rxn01203
R01648	rxn01204
R01649	rxn01205
R01650	rxn01206
R01651	rxn01207
R01652	rxn01208
	rxn01209
R01654	rxn01210
R01655	rxn01211
R01657	rxn01212
R01658	rxn01213
R01659	rxn01214
R01660	rxn01215
R01662	rxn01216
R01663	rxn01217
R01664	rxn01218
R01665	rxn01219
R01666	rxn01220
R01667	rxn01221
R01668	rxn01222
R01669	rxn01223
R01670	rxn01224
R01676	rxn01225
R01677	rxn01226
	rxn01228
	rxn01229
R01681	rxn01230
R01682	rxn01231
R01683	rxn01232
R01684	rxn01233
R01685	rxn01234
	rxn01235
R01688	rxn01236
R01689	rxn01237
R01690	rxn01238
R01694	rxn01239
R01695	rxn01240
R01698	rxn01241
R01699	rxn01242
R01700	rxn01243
R01701	rxn01244
	rxn01245
R01703	rxn01246
R01704	rxn01247
R01707	rxn01248
R01708	rxn01249
	rxn01250
R01710	rxn01251
R01711	rxn01252
R01712	rxn01253
R01713	rxn01254
R01714	rxn01255
R01715	rxn01256
R01716	rxn01257
R01717	rxn01258
	rxn01259
R01720	rxn01261
R01721	rxn01262
R01722	rxn01263
	rxn01264
R01724	rxn01265
R01725	rxn01266
	rxn01267
R01728	rxn01268
R01730	rxn01269
R01731	rxn01270
R01732	rxn01271
R01734	rxn01272
R01735	rxn01273
R01736	rxn01274
R01737	rxn01275
R01738	rxn01276
R01739	rxn01277
R01740	rxn01278
R01741	rxn01279
R01745	rxn01280
R01747	rxn01281
R01748	rxn01282
R01749	rxn01283
R01750	rxn01284
R01751	rxn01285
R01752	rxn01286
R01754	rxn01287
	rxn01288
R01757	rxn01289
R01758	rxn01290
R01759	rxn01291
R01761	rxn01292
R01487	rxn01293
R01764	rxn01294
R01766	rxn01295
R01767	rxn01296
R01768	rxn01297
R01769	rxn01298
R01770	rxn01299
R01771	rxn01300
R01773	rxn01301
R01775	rxn01302
R01776	rxn01303
R01777	rxn01304
R01781	rxn01305
R01782	rxn01306
R01784	rxn01307
R01785	rxn01308
R01787	rxn01310
R01793	rxn01313
R01794	rxn01314
R01795	rxn01315
R01804	rxn01316
R01805	rxn01317
R01806	rxn01318
R01807	rxn01319
R01808	rxn01320
R01810	rxn01321
R01408	rxn01322
R01812	rxn01323
R01813	rxn01324
R01814	rxn01325
R01815	rxn01326
R01816	rxn01327
R01817	rxn01328
R01818	rxn01329
R01825	rxn01331
R01826	rxn01332
R08575	rxn01333
R01829	rxn01334
R01836	rxn01336
R01837	rxn01337
R01838	rxn01338
R01839	rxn01339
	rxn01340
R01841	rxn01341
	rxn01342
R01843	rxn01343
R01844	rxn01344
R01845	rxn01345
	rxn01346
	rxn01347
	rxn01348
R01850	rxn01349
R01851	rxn01350
R01855	rxn01351
R01856	rxn01352
R01857	rxn01353
R01858	rxn01354
R01859	rxn01355
R01860	rxn01356
R01861	rxn01357
R01863	rxn01358
R01866	rxn01359
R01867	rxn01360
R01869	rxn01361
R01870	rxn01362
R01872	rxn01363
R01873	rxn01364
R01874	rxn01365
R01876	rxn01366
R01877	rxn01367
R01878	rxn01368
R01879	rxn01369
R01880	rxn01370
R01881	rxn01371
R01882	rxn01372
R01883	rxn01373
R01884	rxn01374
R01885	rxn01375
R01886	rxn01376
R01887	rxn01377
R01888	rxn01378
R01889	rxn01379
R01890	rxn01380
R01891	rxn01381
R01892	rxn01382
R01895	rxn01383
R01896	rxn01385
R01898	rxn01386
R01899	rxn01387
R01900	rxn01388
R01901	rxn01389
R01902	rxn01390
R01903	rxn01391
R01904	rxn01392
R01905	rxn01393
R01906	rxn01394
R01908	rxn01395
R01909	rxn01396
R01910	rxn01397
R01911	rxn01398
R01912	rxn01399
R01913	rxn01400
R01914	rxn01401
	rxn01402
R01917	rxn01403
R01918	rxn01404
R01919	rxn01405
R01920	rxn01406
R01921	rxn01407
R01922	rxn01408
R01923	rxn01409
R01925	rxn01410
R01926	rxn01411
	rxn01412
R01928	rxn01413
R01929	rxn01414
R01930	rxn01415
R01931	rxn01416
R01932	rxn01417
R01933	rxn01418
R01934	rxn01419
R01936	rxn01420
R01937	rxn01421
R01938	rxn01422
R01939	rxn01423
	rxn01424
R01941	rxn01425
R01942	rxn01426
R01943	rxn01427
R01944	rxn01428
R01945	rxn01429
R01946	rxn01430
R01951	rxn01431
R01952	rxn01432
R01953	rxn01433
R01954	rxn01434
R01956	rxn01435
R01957	rxn01436
R01959	rxn01437
R01960	rxn01438
R01961	rxn01439
R01962	rxn01440
R01963	rxn01441
R01964	rxn01442
R01965	rxn01443
R01967	rxn01444
R01968	rxn01445
R01969	rxn01446
R01971	rxn01447
R01972	rxn01448
R01973	rxn01449
R01974	rxn01450
R01975	rxn01451
