Kegg_ID	ModelSeed_ID	formula	charge
C11342	cpd08198	C13H10NO5	-1
C11343	cpd08199	C7H7NO3	0
C11344	cpd08200	C5H12O	0
C11345	cpd08201	C5H8N4O2	0
C11346	cpd08202	C24H31O9	-1
C11347	cpd08203	C11H18N3O6S	-1
C11348	cpd08204	C8H10O	0
C11350	cpd08205	C14H22O	0
C11352	cpd08207	C6H6Cl2	0
C11353	cpd08208	C5H4ClO3	-1
C11354	cpd08209	C6H7O3	-1
C11355	cpd08210	C10H10NO5	-1
C11356	cpd08211	C20H34O7P2	-2
C11358	cpd08213	C13H26N2O	2
C11360	cpd08215	C9H13N2	1
C11361	cpd08216	C25H37NO6S	-2
C11362	cpd08217	C35H43N6O5	-1
C11363	cpd08218	C20H8Br4O10S2	-2
C11365	cpd08219	C33H40N4O7	0
C11366	cpd08220	C22H21N2O6	-1
C11367	cpd08221	C30H47N3O10S	-2
C11368	cpd08222	C19H22FN3O3	0
C11369	cpd08223	C36H25Cl2N2O13	-5
C11370	cpd08224	C16H21N4O8S	-1
C11371	cpd08225	C20H21O3	-1
C11372	cpd08226	C21H20N4O6S	-2
C11373	cpd08227	C21H23N2O5S2	-1
C11374	cpd08228	C27H22N4O6	-2
C11375	cpd08229	C28H28N2O12	-2
C11376	cpd08230	C28H27N2O11	-1
C11377	cpd08231	C25H40N2O19R	-1
C11378	cpd08232	C59H90O4	0
C11379	cpd08233	C19H23N2O	1
C11380	cpd08234	C9H10O3	0
C11382	cpd08236	C10H16	0
C11384	cpd08238	C10H18O	0
C11385	cpd08239	C45H79N2O23R	0
G10525	cpd08239	C45H79N2O23R	0
C11386	cpd08240	C10H20O	0
C11389	cpd08243	C10H18O	0
C11390	cpd08244	C10H18O	0
C11391	cpd08245	C10H16	0
C11392	cpd08246	C10H16	0
C11393	cpd08247	C10H18O	0
C11395	cpd08249	C10H16O	0
C11396	cpd08250	C10H18O	0
C11397	cpd08251	C10H18O	0
C11398	cpd08252	C10H16O	0
C11399	cpd08253	C10H18O	0
C11400	cpd08254	C10H18O	0
C11401	cpd08255	C10H16O	0
C11402	cpd08256	C10H16O2	0
C11403	cpd08257	C10H16O2	0
C11404	cpd08258	C10H17O3	-1
C11405	cpd08259	C10H15O3	-1
C11406	cpd08260	C10H17O3	-1
C11407	cpd08261	C31H46N7O18P3S	-4
C11408	cpd08262	C10H16O	0
C11409	cpd08263	C10H16O	0
C11410	cpd08264	C10H18O	0
C11411	cpd08265	C10H18O	0
C11412	cpd08266	C10H16O	0
C11413	cpd08267	C10H18O	0
C11414	cpd08268	C10H16O2	0
C11415	cpd08269	C10H16O	0
C11416	cpd08270	C10H18O	0
C11417	cpd08271	C10H17O3	-1
C11418	cpd08272	C10H16O2	0
C11419	cpd08273	C10H15O3	-1
C11420	cpd08274	C10H17O3	-1
C11421	cpd08275	C31H46N7O18P3S	-4
C11422	cpd08276	C14H10	0
C11425	cpd08277	C14H9O4	-1
C11426	cpd08278	C14H9O4	-1
C11427	cpd08279	C11H8O2	0
C11428	cpd08280	C14H12O2	0
C11429	cpd08281	C14H10O	0
C11430	cpd08282	C14H10O	0
C11431	cpd08283	C14H10O	0
C11432	cpd08284	C14H10O	0
C11433	cpd08285	C15H12O	0
C11434	cpd08286	C5H11O7P	-2
C11435	cpd08287	C14H23N3O14P2	-2
C11436	cpd08288	C14H22N3O17P3	-4
C11437	cpd08289	C5H9O7P	-2
C11438	cpd08290	C43H44ClN3O13	2
C11441	cpd08291	C43H44ClN3O12	2
C11442	cpd08292	C43H46ClN3O13	2
C11443	cpd08293	C43H46ClN3O12	2
C11445	cpd08294	C14H8O2	0
C11446	cpd08295	C14H10O3	0
C11447	cpd08296	C19H32N3O14P2	-1
