pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K25497']	[]	['R12854']
map01100	Metabolic pathways	['K25498']	[]	['R12855']
map01100	Metabolic pathways	['K25499']	[]	['R12856']
map01100	Metabolic pathways	['K07384']	[' 4.2.3.119']	['R05765']
map01100	Metabolic pathways	['K21925', 'K22208']	[' 4.2.3.117']	['R09972']
map01100	Metabolic pathways	['K21938']	[' 4.2.3.107']	['R09963']
map01100	Metabolic pathways	['K23144', 'K23144']	[' 2.3.1.276']	['R12242']
map01100	Metabolic pathways	['K05953']	[' 2.5.1.43']	['R00075']
map01100	Metabolic pathways	['K05953']	[' 2.5.1.43']	['R00075']
map01100	Metabolic pathways	['K14271']	[' 2.6.1.80']	['R07277']
map01100	Metabolic pathways	['K22374']	[' 1.1.1.285']	['R07141', 'R07142']
map01100	Metabolic pathways	['K18054']	[' 1.14.11.24']	['R07185']
map01100	Metabolic pathways	['K18054']	[' 1.14.11.25']	['R07186']
map01100	Metabolic pathways	['K18054']	[' 1.14.11.25']	['R07187']
map01100	Metabolic pathways	['K18054']	[' 1.14.11.24']	['R12826']
map01100	Metabolic pathways	['K18282']	[]	['R00152']
map01100	Metabolic pathways	['K18151']	[' 3.5.1.116']	['R00469']
map01100	Metabolic pathways	['K18151']	[' 3.5.1.116']	['R00469']
map01100	Metabolic pathways	['K17877', 'K26139', 'K26138', 'K00361', 'K00366', 'K00362', 'K00363', 'K03385', 'K15876']	[' 1.7.1.4', ' 1.7.1.15', ' 1.7.2.2', ' 1.7.7.1']	['R00787', 'R00789', 'R00790', 'R05712']
map01100	Metabolic pathways	['K00281', 'K00282', 'K00283', 'K00605', 'K00382', 'K02437']	[' 1.4.4.2', ' 2.1.2.10', ' 1.8.1.4']	['R01221']
map01100	Metabolic pathways	['K00659']	[' 2.3.1.65']	['R03720']
map01100	Metabolic pathways	['K25364']	[' 2.7.3.5']	['R03691']
map01100	Metabolic pathways	['K00272']	[' 1.4.3.15', ' 1.4.3.1']	['R00359']
