KO	Modelseed_reaction
K08022	rxn04859	
K11646	rxn15749
K11645	rxn31335	
K11645	rxn31868	
K11645	rxn38097
K11645	rxn38459	
K12972	rxn27943
K12972	rxn32871	
K12972	rxn33207	
K12972	rxn38885	
K00957	rxn23129
K00957	rxn33490	
K00958	rxn23129
K00958	rxn33490	
K00955	rxn03372	
K00955	rxn23129
K00955	rxn27688	
K00955	rxn33490	
K00956	rxn23129
K00956	rxn33490	
K00953	rxn33129
K00954	rxn32643
K00951	rxn33193
K00952	rxn35310
K00952	rxn35311	
K00950	rxn30396
K00948	rxn38273
K00949	rxn32226
K00946	rxn38718
K11628	rxn15529
K11627	rxn14187
K00944	rxn00118	
K00944	rxn00240
K00945	rxn27766	
K00945	rxn28376	
K00945	rxn32095
K00942	rxn32176
K00942	rxn32939	
K00943	rxn30447	
K00943	rxn33672
K00940	rxn00107	
K00940	rxn02517
K00940	rxn14393	
K00940	rxn31847	
K00940	rxn32308	
K00940	rxn32898	
K00940	rxn32981	
K00940	rxn33024	
K00940	rxn33340	
K00940	rxn33383	
K00940	rxn33550	
K00940	rxn33573	
K00941	rxn28046
K00941	rxn28109	
K00979	rxn02405
K12922	rxn04181
K12921	rxn04179
K12924	rxn04182
K12923	rxn04180
K12920	rxn04468
K12929	rxn01488
K12926	rxn04184
K12925	rxn04183
K12928	rxn04185	
K12928	rxn04186	
K12928	rxn04187	
K12928	rxn04188
K12927	rxn04175	
K12927	rxn04177
K12927	rxn24021	
K00978	rxn00702
K00975	rxn19776
K00976	rxn32536
K00973	rxn33715
K00974	rxn16219	
K00974	rxn16220	
K00974	rxn16221
K00974	rxn16223	
K00971	rxn33633
K00972	rxn30068
K00968	rxn01885
K00968	rxn31777	
K00969	rxn35310
K00969	rxn35311	
K12933	rxn07667	
K12933	rxn07668
K12933	rxn07669	
K12932	rxn07674	
K12932	rxn07675	
K12932	rxn07676
K12935	rxn04615
K12934	rxn04614
K12934	rxn07700	
K12931	rxn04616
K12931	rxn04632	
K12931	rxn07728	
K12930	rxn31374	
K12930	rxn31375	
K12930	rxn31376
K12937	rxn07722	
K12937	rxn16479
K12936	rxn07670	
K12936	rxn07672	
K12936	rxn07673	
K12936	rxn07720
K12936	rxn07721	
K12936	rxn07734	
K12939	rxn07702	
K12939	rxn07703	
K12939	rxn07713
K12938	rxn07698	
K12938	rxn07699
K00966	rxn33633
K00967	rxn02961
K00967	rxn17705	
K00965	rxn00701
K00962	rxn05842	
K00962	rxn05843	
K00962	rxn05844	
K00962	rxn05845
K00963	rxn38117
K21175	rxn13801
K22492	rxn28804	
K22492	rxn31339	
K22492	rxn31340
K21138	rxn33062
K09482	rxn10534
K09483	rxn01188
K09480	rxn06700
K09484	rxn01363
K22474	rxn16323
K21142	rxn16232
K22473	rxn16323
K09479	rxn35691
K21147	rxn07291	
K21147	rxn07293
K22478	rxn30332	
K22478	rxn33610
K22477	rxn33610
K09478	rxn14277	
K09478	rxn15392	
K09478	rxn31412	
K09478	rxn35693
K22476	rxn33610
K21120	rxn15787
K22451	rxn31426	
K22451	rxn34307
K22450	rxn02084
K22457	rxn05984
K11703	rxn02423
K11778	rxn15542
K11779	rxn16233
K22427	rxn00497
K11781	rxn16233
K11780	rxn16233
K11783	rxn14263
K11788	rxn27916
K11788	rxn32851	
K11785	rxn31546
K11784	rxn15754
K11787	rxn27916	
K11787	rxn32750
K11787	rxn32851	
K11787	rxn35343	
K22435	rxn12125
K22433	rxn32690
K22437	rxn01546
K09471	rxn05124
K09472	rxn05126	
K09472	rxn05127
K09470	rxn05123
K09473	rxn05128
K09474	rxn38689
K11755	rxn19898	
K11755	rxn30697
K11752	rxn32932	
K11752	rxn33143
K11751	rxn02400	
K11751	rxn29952	
K11751	rxn29955	
K11751	rxn29956
K11751	rxn30860	
K11751	rxn30907	
K11751	rxn30908	
K11751	rxn31059	
K11751	rxn31973	
K11751	rxn32378	
K11751	rxn32982	
K11751	rxn33474	
K11751	rxn33762	
K11754	rxn15454	
K11754	rxn19488
K11754	rxn30129	
K11753	rxn32424	
K11753	rxn33129
K09469	rxn02900
K09460	rxn00723
K09461	rxn02808
K09461	rxn02809	
K10437	rxn33612
K10438	rxn01823
K09457	rxn07436
K09458	rxn30096
K09458	rxn31276	
K09458	rxn37965	
K09458	rxn38482	
K09458	rxn38485	
K09458	rxn38486	
K09458	rxn38487	
K09458	rxn38490	
K22417	rxn31665
K09459	rxn02845
K11731	rxn07878
K08100	rxn01724
K08101	rxn11991
K11717	rxn34306
K21292	rxn17097	
K21292	rxn24060
K21292	rxn30904	
K21275	rxn29023
K21274	rxn29023
K21273	rxn16579
K21289	rxn33106
K08281	rxn38280
K22588	rxn02244
K22596	rxn01981	
K22596	rxn06472
K21268	rxn38340
K22567	rxn06071
K22568	rxn20619	
K22568	rxn38011
K08295	rxn00723
K08289	rxn32750
K08289	rxn35343	
K11813	rxn31729
K11812	rxn31729
K11819	rxn13991	
K11819	rxn14068	
K11819	rxn14130
K11819	rxn14339	
K11819	rxn33036	
K11818	rxn12018
K11818	rxn14259	
K11818	rxn14331	
K11817	rxn31665
K11822	rxn16281
K11821	rxn02300	
K11821	rxn11704
K11821	rxn14025	
K11821	rxn14133	
K11821	rxn14362	
K11820	rxn02299	
K11820	rxn11701	
K11820	rxn14074
K11808	rxn38026
K11809	rxn01215
K21219	rxn28046
K21219	rxn28109	
K21219	rxn29006	
K08243	rxn31514
K08241	rxn04012
K08242	rxn27502
K10566	rxn07454
K22548	rxn03037
K10572	rxn30408
K08232	rxn32953
K08233	rxn04058
K22552	rxn31826
K21220	rxn29006
K22554	rxn16288
K22553	rxn05960
K08261	rxn02092
K08262	rxn06955
K09590	rxn07283	
K09590	rxn07284
K09590	rxn07288	
K09590	rxn07289	
K09590	rxn30826	
K08260	rxn03541
K09591	rxn07273
K09591	rxn33357	
K08265	rxn03126
K08264	rxn03126
K09589	rxn07277	
K09589	rxn33077
K09587	rxn07274	
K09587	rxn07278	
K09587	rxn07285	
K09587	rxn07286	
K09587	rxn07287
K21208	rxn12086
K22539	rxn31234
K08247	rxn03265
K08248	rxn01296	
K08248	rxn05998	
K08248	rxn31668
K08246	rxn02677
K08249	rxn01935	
K08249	rxn05998	
K08249	rxn31668
K10524	rxn01671	
K10524	rxn02401
K10525	rxn19142
K10526	rxn21057
K10527	rxn07679	
K10527	rxn07680	
K10527	rxn07683	
K10527	rxn07684	
K10527	rxn07687	
K10527	rxn07688	
K10527	rxn27455
K10527	rxn34630	
K10527	rxn34728	
K10527	rxn34729	
K10527	rxn34730	
K10527	rxn34731	
K10527	rxn34732	
K10527	rxn34733	
K10527	rxn34734	
K10527	rxn34735	
K10527	rxn34736	
K10527	rxn34737	
K10527	rxn34738	
K10527	rxn34739	
K10528	rxn07658
K10528	rxn23667	
K22503	rxn30161
K22502	rxn26505
K22502	rxn31246	
K10534	rxn32381
K10534	rxn38182	
K10536	rxn30602
K11868	rxn32608
K10532	rxn31727
K10533	rxn04034
K10533	rxn16224	
K09516	rxn07195
K22515	rxn33328
K20082	rxn04010
K21371	rxn16601	
K21371	rxn16602
K21371	rxn16603	
K19064	rxn00309
K19064	rxn01664	
K19065	rxn01189
K19066	rxn16112
K19073	rxn04705	
K19073	rxn28310
K21383	rxn07111	
K21383	rxn07112	
K21383	rxn07663	
K21383	rxn07666	
K21383	rxn07716	
K21383	rxn07717	
K21383	rxn07718
K21383	rxn07719	
K20021	rxn33352
K20023	rxn32599
K21359	rxn13975	
K21359	rxn13995	
K21359	rxn14059	
K21359	rxn14156	
K21359	rxn14248
K21359	rxn14278	
K21359	rxn27543	
K21359	rxn33015	
K21360	rxn14172	
K21360	rxn27014	
K21360	rxn27015	
K21360	rxn27016	
K21360	rxn27017
K21360	rxn27018	
K21360	rxn37956	
K19054	rxn31826
K21362	rxn06702
K20039	rxn02118	
K20039	rxn02415
K11943	rxn06984
K11945	rxn03922
K11944	rxn06984
K10619	rxn03561
K11947	rxn03921
K10616	rxn03578
K11946	rxn03920
K10617	rxn03547
K11949	rxn07527
K10618	rxn03550
K11948	rxn07472
K10680	rxn07804	
K10680	rxn07807	
K10680	rxn07832
K07031	rxn16612
K19021	rxn35432	
K19021	rxn35440
K07024	rxn31919
K07026	rxn04037
K07029	rxn06139
K09680	rxn02128	
K09680	rxn03047
K09680	rxn12510	
K21346	rxn14382
K22677	rxn06905
K21345	rxn13940
K21344	rxn13941
K22678	rxn03116
K11992	rxn05049
K11992	rxn14344	
K07053	rxn32810
K11996	rxn07291	
K11996	rxn07293
K21311	rxn12084
K19003	rxn06219
K10678	rxn07804	
K10678	rxn07807	
K10678	rxn07832
K19004	rxn06219
K19004	rxn06671	
K10679	rxn07804	
K10679	rxn07807	
K10679	rxn07832
K19005	rxn06850
K19006	rxn06378
K19006	rxn31671	
K19007	rxn06140
K10674	rxn07840
K10675	rxn01023
K10676	rxn02807
K10676	rxn03741	
K19010	rxn16745
K19011	rxn16746
K09699	rxn35537	
K09699	rxn35538	
K09699	rxn35539
K09698	rxn31244	
K09698	rxn32256
K21328	rxn01999
K08312	rxn28560
K08318	rxn38972
K08316	rxn07214
K08310	rxn03173
K11987	rxn01163
K11987	rxn14018	
K08302	rxn00787
K21301	rxn03758
K21301	rxn16054	
K10622	rxn01994	
K10622	rxn03678
K10623	rxn03665
K10620	rxn03555
K10621	rxn01096
K10621	rxn03562	
K22600	rxn35443
K09667	rxn16520
K22601	rxn02104
K08324	rxn31894
K08324	rxn32195	
K08325	rxn26078
K08323	rxn03885
K09659	rxn05918
K09658	rxn05918
K09658	rxn31479	
K20199	rxn00958
K19185	rxn07345
K19186	rxn07345
K19187	rxn07345
K19188	rxn07346
K19189	rxn02881
K19199	rxn06515	
K19199	rxn06804	
K19199	rxn31454
K20146	rxn03974
K21478	rxn38702
K19177	rxn15542
K20156	rxn16403
K20159	rxn13801
K10721	rxn11520	
K10721	rxn11524
K10722	rxn11521
K10722	rxn11525	
K10723	rxn06161
K10724	rxn01707
K10720	rxn11519
K10720	rxn11522	
K09722	rxn16218
K22717	rxn03661
K22717	rxn03662	
K22716	rxn03734	
K22716	rxn03739
K22715	rxn03734	
K22715	rxn03739
K10700	rxn06960
K10701	rxn32838
K10702	rxn03486
K10708	rxn15724
K10703	rxn07574
K10705	rxn38113
K10710	rxn11510
K10712	rxn01785
K10713	rxn07847
K10718	rxn11533
K10718	rxn11537	
K10719	rxn11538	
K10719	rxn11539
K09739	rxn30368
K10714	rxn07848
K10717	rxn15712
K10717	rxn15713	
K10717	rxn15714	
K09709	rxn16142
K07151	rxn06620
K07151	rxn31489	
K21456	rxn27892
K07142	rxn30396
K22794	rxn04619	
K22794	rxn04627	
K22794	rxn11514
K10780	rxn30116	
K10780	rxn31887	
K10780	rxn34709	
K10780	rxn34710	
K10780	rxn34716	
K10780	rxn34717
K10780	rxn34718	
K10780	rxn37889	
K07173	rxn14169
K10781	rxn08434	
K10781	rxn31328	
K10781	rxn34719	
K10781	rxn34727	
K10781	rxn37968
K20108	rxn15449
K10782	rxn06251	
K10782	rxn09456
K10782	rxn11699	
K20107	rxn15449
K10793	rxn15368
K10794	rxn15368
K10797	rxn01610
K20117	rxn15363
K20118	rxn15363
K20116	rxn15363
K21419	rxn11996
K21418	rxn05808
K10760	rxn23923	
K10760	rxn28286
K10760	rxn28287	
K22748	rxn06515	
K22748	rxn06804	
K22748	rxn31454
K10764	rxn39103
K07102	rxn15882
K07104	rxn00587	
K07104	rxn02861	
K07104	rxn03607	
K07104	rxn03704	
K07104	rxn03706	
K07104	rxn07602
K07106	rxn15745
K10776	rxn15042
K10777	rxn15042
K19104	rxn06304
K19105	rxn02206
K19107	rxn03030
K10774	rxn00530
K10775	rxn32193
K09754	rxn33554	
K09754	rxn33793
K09755	rxn31789	
K09755	rxn32872	
K09755	rxn33211
K09753	rxn01815	
K09753	rxn04423
K09753	rxn31952	
K09753	rxn32688	
K09753	rxn32990	
K09753	rxn33760	
K09758	rxn00279
K09758	rxn00624	
K09759	rxn06433
K09759	rxn30161	
K09756	rxn32668
K21425	rxn02420
K09757	rxn17487
K07130	rxn00729
K07130	rxn03362	
K07130	rxn34212	
K10747	rxn15042
K10747	rxn15043	
K07127	rxn35444
K09789	rxn16573
K10757	rxn01557
K10757	rxn04463	
K19281	rxn00682
K19282	rxn00331
K19285	rxn13939
K19286	rxn03974	
K19286	rxn13939
K21593	rxn04777	
K21593	rxn04778
K20278	rxn16668
K20278	rxn32153	
K20279	rxn16668
K20279	rxn32153	
K19290	rxn06318
K19291	rxn06318
K09903	rxn32095
K09842	rxn04766
K09843	rxn37887
K09840	rxn16526	
K09840	rxn24215
K09840	rxn39041	
K09841	rxn04763
K09846	rxn07352	
K09846	rxn07355	
K09846	rxn07358	
K09846	rxn07360	
K09846	rxn07364
K09846	rxn07366	
K09847	rxn07356	
K09847	rxn07357	
K09847	rxn07368	
K09847	rxn07369
K09844	rxn07347	
K09844	rxn07350	
K09844	rxn07353	
K09844	rxn07359	
K09844	rxn07363	
K09844	rxn07367	
K09844	rxn07370	
K09844	rxn07374
K09844	rxn16632	
K09845	rxn07348	
K09845	rxn15684
K09845	rxn15685	
K09845	rxn15686	
K10852	rxn07098
K09839	rxn30937
K09839	rxn30938	
K09837	rxn31338
K09837	rxn31352	
K09838	rxn38445	
K09838	rxn38448
K09831	rxn15680
K22831	rxn06140
K09832	rxn07320
K09835	rxn28390
K09836	rxn03648	
K09836	rxn07380	
K09836	rxn07388	
K09836	rxn07394	
K09836	rxn07395	
K09836	rxn07397	
K09836	rxn07402
K09836	rxn07404	
K09836	rxn15690	
K09836	rxn15691	
K09833	rxn23796
K09834	rxn23798	
K09834	rxn23799
K10837	rxn11751
K10807	rxn12053	
K10807	rxn12054	
K10807	rxn30428	
K10807	rxn30429
K10807	rxn30430	
K10808	rxn12053	
K10808	rxn12054	
K10808	rxn30428	
K10808	rxn30429
K10808	rxn30430	
K10810	rxn16823
K10811	rxn27288
K10817	rxn14196
K10814	rxn06951	
K10814	rxn15549
K10815	rxn06951	
K10815	rxn15549
K10816	rxn06951	
K10816	rxn15549
K09828	rxn02618	
K09828	rxn03007	
K09828	rxn07319	
K09828	rxn11681
K09828	rxn11682	
K09828	rxn26890	
K09828	rxn31710	
K09828	rxn33208	
K09829	rxn32938
K09827	rxn26931
K19266	rxn30087
K20246	rxn14097
K21574	rxn17977	
K21574	rxn34303
K20249	rxn14374
K20248	rxn14374
K08591	rxn05901	
K08591	rxn14401
K08590	rxn31885
K07264	rxn16623	
K07264	rxn22826	
K07264	rxn22827
K19267	rxn06429	
K19267	rxn11156	
K19267	rxn11994
K19268	rxn00195
K19269	rxn35247
K21580	rxn14200
K20250	rxn14374
K21581	rxn07794
K07256	rxn01234
K07255	rxn01234
K07291	rxn16513
K22881	rxn31318
K19244	rxn00278
K22887	rxn34302
K07281	rxn16512
K19246	rxn01164
K21539	rxn16664
K19221	rxn03535	
K19221	rxn05029	
K19221	rxn08194
K19222	rxn25494
K09887	rxn05059
K20200	rxn14227
K20204	rxn00054
K20219	rxn00054
K09882	rxn10476
K09883	rxn10476
K09880	rxn05107
K09881	rxn01992
K21540	rxn16663
K09879	rxn07372	
K09879	rxn07391	
K09879	rxn07647	
K09879	rxn07648
K22879	rxn16356
K20215	rxn03091	
K20215	rxn12113	
K20215	rxn12114
K22849	rxn06145
K07250	rxn02926	
K07250	rxn27867
K07250	rxn28267	
K22848	rxn06145
K07252	rxn05913
K07251	rxn01538
K07253	rxn01004
K07253	rxn02397	
K07246	rxn00160	
K07246	rxn01285	
K07246	rxn01847
K07246	rxn04143	
K07249	rxn11896	
K07249	rxn33370
K22846	rxn02246
K07248	rxn30087
K07248	rxn31785	
K07248	rxn38862	
K21513	rxn07564
K18097	rxn00764
K18090	rxn02526	
K18090	rxn02539	
K18090	rxn03729	
K18090	rxn04646	
K18090	rxn04671	
K18090	rxn16013	
K18090	rxn16014
K18092	rxn03667
K18068	rxn02593
K18069	rxn02593
K18071	rxn02427
K18071	rxn02428	
K18074	rxn03490
K18075	rxn03490
K18076	rxn01194
K18077	rxn03490
K18087	rxn03573	
K18087	rxn03574	
K18087	rxn03575	
K18087	rxn03576
K18087	rxn03772	
K18088	rxn03573	
K18088	rxn03574	
K18088	rxn03575	
K18088	rxn03576
K18088	rxn03772	
K18089	rxn02526	
K18089	rxn02539	
K18089	rxn03729	
K18089	rxn04646	
K18089	rxn04671	
K18089	rxn16013	
K18089	rxn16014
K10960	rxn24354	
K10960	rxn24355
K10960	rxn24356	
K10960	rxn31424	
K07308	rxn16343
K07307	rxn16343
K07309	rxn07210
K07306	rxn16343
K19302	rxn03901
K10977	rxn10434	
K10977	rxn11858	
K10977	rxn11859
K10977	rxn30391	
K10978	rxn11745	
K10978	rxn11746	
K10978	rxn30153	
K10978	rxn30207	
K10978	rxn30393
K21621	rxn02094
K21620	rxn02095
K21623	rxn01735
K22926	rxn00298
K22925	rxn14342
K08660	rxn00865	
K08660	rxn01464
K10944	rxn14010	
K10944	rxn16360
K10945	rxn14010	
K10945	rxn16360
K10946	rxn14010	
K10946	rxn16360
K08658	rxn16686
K09988	rxn15277
K22920	rxn38117
K07310	rxn07210
K22932	rxn23874
K22932	rxn23876	
K22912	rxn31834
K09913	rxn01146	
K09913	rxn01358	
K09913	rxn01366
K09913	rxn01648	
K09913	rxn30188	
K09913	rxn30189	
K09913	rxn33382	
K22911	rxn16839
K22911	rxn33098	
K21693	rxn17086
K21692	rxn02715	
K21692	rxn24667
K07382	rxn01788
K07381	rxn01786
K07384	rxn04018	
K07384	rxn04019
K07385	rxn04283
K07385	rxn04284	
K20370	rxn32303
K18062	rxn03615
K18067	rxn03587
K06045	rxn05070
K06045	rxn05071	
K06048	rxn27893
K19355	rxn15184
K18028	rxn12749
K18029	rxn16315
K18030	rxn16315
K21672	rxn02930	
K21672	rxn02931	
K21672	rxn03204	
K21672	rxn03205	
K21672	rxn15368
K21675	rxn31538
K21674	rxn31538
K21673	rxn31538
K21683	rxn16096
K21682	rxn00080
K21681	rxn01113
K21681	rxn02089	
K21680	rxn01112
K21680	rxn01113	
K08680	rxn25492
K08683	rxn35545
K08681	rxn15678
K08682	rxn06022
K18009	rxn01685	
K18009	rxn01686
K18010	rxn15941
K18011	rxn02045	
K18011	rxn02344
K18012	rxn02403
K06013	rxn16686
K06015	rxn06125
K06016	rxn15490
K06016	rxn33392	
K08678	rxn32978
K08679	rxn38824
K18014	rxn02170
K18016	rxn35454
K18017	rxn35454
K18023	rxn35454
K06001	rxn30979	
K06001	rxn33281	
K06001	rxn33994
K06042	rxn03512
K06042	rxn04052	
K06041	rxn32044
K06044	rxn06051
K06044	rxn16841	
K10985	rxn11879
K10986	rxn11879
K19312	rxn20619	
K19312	rxn38011
K10984	rxn11879
K10989	rxn01800
K06035	rxn00564
K06034	rxn33453
K08690	rxn03554	
K08690	rxn03556
K08691	rxn00177	
K08691	rxn00331
K08691	rxn00682	
K21648	rxn03790
K21648	rxn03791	
K21648	rxn03792	
K08695	rxn31511	
K08695	rxn31512
K08695	rxn31513	
K08692	rxn00934
K08693	rxn17763	
K08693	rxn17765	
K08693	rxn17766	
K08693	rxn17767
K08693	rxn19338	
K08693	rxn19339	
K08693	rxn19340	
K08693	rxn19341	
K08693	rxn29952	
K08693	rxn29955	
K08693	rxn29956	
K08693	rxn30907	
K08693	rxn30908	
K08693	rxn31059	
K08693	rxn31973	
K08693	rxn32378	
K08693	rxn32982	
K08693	rxn33474	
K08693	rxn33762	
K18000	rxn00723
K08687	rxn01140
K08688	rxn01142
K08685	rxn13964
K08686	rxn05924
K21647	rxn03790
K21647	rxn03791	
K21647	rxn03792	
K08689	rxn03573	
K08689	rxn03574	
K08689	rxn03575	
K08689	rxn03576
K08689	rxn03772	
K18199	rxn04023
K21738	rxn06071
K07430	rxn03499
K07430	rxn04988	
K07430	rxn14164	
K07430	rxn14303	
K07420	rxn04807	
K07420	rxn04808	
K07420	rxn11901
K07420	rxn11902	
K07422	rxn04847
K07422	rxn04852	
K07425	rxn04847	
K07425	rxn04852
K07425	rxn04856	
K07425	rxn11900	
K07425	rxn34302	
K07424	rxn01696
K07424	rxn02448	
K07424	rxn04861	
K07424	rxn04862	
K07424	rxn11900	
K07424	rxn11901	
K07424	rxn11902	
K21749	rxn02943
K21749	rxn15146	
K07418	rxn04848	
K07418	rxn04849	
K07418	rxn04850	
K07418	rxn04851	
K07418	rxn04852	
K07418	rxn04854	
K07418	rxn04856	
K07418	rxn04857
K07418	rxn04858	
K07418	rxn04861	
K07418	rxn04862	
K08748	rxn02014	
K08748	rxn02794
K08748	rxn03107	
K08748	rxn15477	
K08748	rxn18999	
K08748	rxn19000	
K07419	rxn34588
K07410	rxn02214	
K07410	rxn02216	
K07410	rxn04882	
K07410	rxn04883	
K07410	rxn04884	
K07410	rxn04890	
K07410	rxn06427	
K07410	rxn15653	
K07410	rxn16253
K07410	rxn16255	
K07410	rxn16279	
K08743	rxn07257
K07412	rxn02448	
K07412	rxn04808	
K07412	rxn04854	
K07412	rxn04856	
K07412	rxn04857
K07412	rxn04858	
K07412	rxn11900	
K07412	rxn11901	
K07412	rxn11902	
K07411	rxn11900
K07411	rxn11901	
K07411	rxn11902	
K07414	rxn02448
K07413	rxn02448	
K07413	rxn04848	
K07413	rxn04849	
K07413	rxn04854	
K07413	rxn04856	
K07413	rxn04857
K07413	rxn04858	
K07413	rxn04860	
K07413	rxn04861	
K07413	rxn04862	
K07413	rxn11900	
K07413	rxn11902	
K07416	rxn04807	
K07416	rxn04808
K08744	rxn06081
K07415	rxn02448	
K07415	rxn04807	
K07415	rxn04808	
K07415	rxn04828	
K07415	rxn04829	
K07415	rxn04852	
K07415	rxn04861	
K07415	rxn04862	
K07415	rxn04869
K07415	rxn04871	
K07415	rxn04878	
K07415	rxn04891	
K07415	rxn04892	
K07415	rxn04893	
K07415	rxn04901	
K07415	rxn04902	
K07415	rxn11831	
K07415	rxn11832	
K07415	rxn16258	
K07415	rxn31978	
K07415	rxn32415	
K06121	rxn00768
K06120	rxn00768
K06119	rxn31311
K06116	rxn00610
K06118	rxn30780
K06117	rxn00610
K21727	rxn02165
K21726	rxn02165
K21725	rxn31699
K07441	rxn31711
K07440	rxn04986
K07439	rxn04987
K06101	rxn06515	
K06101	rxn06804	
K06101	rxn27929	
K06101	rxn31454
K07432	rxn31711
K08764	rxn17468	
K08764	rxn31685
K07431	rxn03297	
K07431	rxn04983
K08765	rxn01409
K07434	rxn11954	
K07434	rxn11956
K07434	rxn11958	
K07434	rxn11975	
K07434	rxn12000	
K07434	rxn12001	
K07433	rxn06133	
K07433	rxn06229	
K07433	rxn06262	
K07433	rxn06351	
K07433	rxn06507	
K07433	rxn11980	
K07433	rxn11982	
K07433	rxn12002
K07436	rxn16357	
K07436	rxn16358
K21724	rxn07755	
K21724	rxn07756
K21723	rxn07729	
K21723	rxn07744
K21723	rxn07751	
K21723	rxn07752	
K21723	rxn07757	
K21723	rxn07758	
K21723	rxn07765	
K21723	rxn07766	
K07438	rxn02578
K08766	rxn01409
K21722	rxn07745	
K21722	rxn07746	
K21722	rxn07747	
K21722	rxn07748
K21722	rxn07759	
K21722	rxn07760	
K21722	rxn07763	
K21722	rxn07764	
K07437	rxn11900
K07437	rxn11902	
K08718	rxn35440
K08710	rxn03846	
K08710	rxn04776
K07407	rxn15139	
K07407	rxn15469	
K07407	rxn31483	
K07407	rxn33707	
K07407	rxn34769	
K07407	rxn34772	
K07407	rxn34775	
K07407	rxn34777	
K07407	rxn34778	
K07407	rxn34779
K07407	rxn38341	
K07407	rxn38342	
K07406	rxn15139	
K07406	rxn15469	
K07406	rxn31483	
K07406	rxn33707	
K07406	rxn34769	
K07406	rxn34772	
K07406	rxn34775	
K07406	rxn34777	
K07406	rxn34778	
K07406	rxn34779
K07406	rxn38341	
K07406	rxn38342	
K07409	rxn02448	
K07409	rxn04807	
K07409	rxn04808	
K07409	rxn04828	
K07409	rxn04829	
K07409	rxn04861	
K07409	rxn04862	
K07409	rxn04901	
K07409	rxn04902	
K07409	rxn06427	
K07409	rxn07729	
K07409	rxn07733	
K07409	rxn07735	
K07409	rxn11821	
K07409	rxn11822
K07409	rxn11902	
K07409	rxn16242	
K07409	rxn16244	
K07409	rxn16245	
K07408	rxn01694	
K07408	rxn01695	
K07408	rxn02215	
K07408	rxn02448	
K07408	rxn04807	
K07408	rxn04808	
K07408	rxn04828	
K07408	rxn04829	
K07408	rxn04882	
K07408	rxn04883	
K07408	rxn04884	
K07408	rxn04890	
K07408	rxn04901	
K07408	rxn04902
K07408	rxn06427	
K07408	rxn11900	
K07408	rxn11902	
K07408	rxn15653	
K07408	rxn16255	
K07408	rxn16260	
K07408	rxn16279	
K08730	rxn07254
K07405	rxn31228
K07405	rxn34305	
K07404	rxn19018
K08728	rxn06247
K08729	rxn07255
K08726	rxn04074	
K08726	rxn04911
K08726	rxn04912	
K08726	rxn04913	
K08726	rxn04914	
K08722	rxn29952	
K08722	rxn29955	
K08722	rxn29956
K08722	rxn32378	
K08722	rxn33474	
K08723	rxn02400	
K08723	rxn29952	
K08723	rxn29955	
K08723	rxn29956
K08723	rxn30860	
K08723	rxn30907	
K08723	rxn30908	
K08723	rxn31059	
K08723	rxn31973	
K08723	rxn32378	
K08723	rxn32982	
K08723	rxn33474	
K08723	rxn33762	
K20495	rxn16290
K20495	rxn34302	
K20495	rxn37696	
K20498	rxn32727
K18151	rxn27428
K18152	rxn00089	
K18152	rxn20263
K18153	rxn20263
K21791	rxn37968
K21796	rxn16333
K21795	rxn32630
K21794	rxn03984
K20449	rxn06329
K18123	rxn18964	
K18123	rxn33259
K18124	rxn15129
K18124	rxn15662	
K18125	rxn15129
K18125	rxn15662	
K18125	rxn15743	
K18126	rxn02429
K18126	rxn15220	
K18127	rxn32050
K06134	rxn15784	
K06134	rxn31690
K06133	rxn06023
K20447	rxn01261
K07468	rxn15042
K20448	rxn01261
K20445	rxn01261
K20446	rxn01261
K06130	rxn02450	
K06130	rxn15365
K06131	rxn07267
K18134	rxn16520
K20450	rxn02756
K21782	rxn07151
K20451	rxn02204
K21781	rxn07150
K21780	rxn07150
K06123	rxn06233
K06123	rxn06663	
K20454	rxn00987
K06122	rxn00768
K06125	rxn11643	
K06125	rxn37934
K06125	rxn38467	
K20452	rxn02202
K06124	rxn04683
K06124	rxn30859	
K20453	rxn02202
K06127	rxn15783	
K06127	rxn30327
K20458	rxn00964
K06126	rxn15782	
K06126	rxn30326
K06129	rxn15666
K06128	rxn06375	
K06128	rxn15666
K20457	rxn19488
K18109	rxn16728
K20429	rxn01999
K21759	rxn00921
K20428	rxn01999
K18106	rxn15697
K18108	rxn04283
K18110	rxn16734
K18111	rxn16676	
K18111	rxn16727
K06152	rxn01279
K06151	rxn01279
K06153	rxn03901
K18113	rxn24021
K18119	rxn16140
K18120	rxn38972
K18121	rxn32871	
K18121	rxn38971
K18122	rxn25216
K07550	rxn03867
K18201	rxn02422
K07549	rxn03867
K06211	rxn01671	
K06211	rxn35310
K06211	rxn35311	
K07542	rxn34312
K06210	rxn35310
K06210	rxn35311	
K07541	rxn31481
K07544	rxn03868
K07543	rxn03868
K06215	rxn15678
K07546	rxn30972
K07545	rxn06940
K07548	rxn03860
K07547	rxn03860
K07540	rxn03877
K06208	rxn33299
K07539	rxn03872
K07539	rxn03873	
K07538	rxn03863
K06209	rxn33299
K19551	rxn31234
K07535	rxn03864
K07534	rxn03879
K07537	rxn03876
K07536	rxn03871
K19517	rxn32776
K20515	rxn04173
K19523	rxn01409
K19524	rxn01409
K07553	rxn02408	
K07553	rxn31672
K06221	rxn15833
K21840	rxn01110
K20514	rxn16530
K20514	rxn24021	
K07558	rxn16219	
K07558	rxn16220	
K07558	rxn16221
