KO	Modelseed_reaction
K00667	rxn38486	
K00667	rxn38487	
K00667	rxn38489	
K00667	rxn38490	
K00667	rxn38492	
K00668	rxn30116	
K00668	rxn30156	
K00668	rxn31225	
K00668	rxn31321	
K00668	rxn31322	
K00668	rxn31323	
K00668	rxn31324	
K00668	rxn31325	
K00668	rxn31326	
K00668	rxn31327	
K00668	rxn31887	
K00668	rxn34709	
K00668	rxn34710	
K00668	rxn34716	
K00668	rxn34717
K00668	rxn34718	
K00668	rxn37889	
K00668	rxn38489	
K00665	rxn08434	
K00665	rxn30116	
K00665	rxn30156	
K00665	rxn31225	
K00665	rxn31254	
K00665	rxn31255	
K00665	rxn31256	
K00665	rxn31257	
K00665	rxn31276	
K00665	rxn31321	
K00665	rxn31322	
K00665	rxn31323	
K00665	rxn31324	
K00665	rxn31325	
K00665	rxn31326	
K00665	rxn31327	
K00665	rxn31328	
K00665	rxn31887	
K00665	rxn34709	
K00665	rxn34710	
K00665	rxn34716	
K00665	rxn34717	
K00665	rxn34718	
K00665	rxn37889	
K00665	rxn37965	
K00665	rxn38482	
K00665	rxn38484
K00665	rxn38485	
K00665	rxn38486	
K00665	rxn38487	
K00665	rxn38490	
K00665	rxn38492	
K00664	rxn05875
K12640	rxn07283	
K12640	rxn07284
K12640	rxn07288	
K12640	rxn07289	
K12640	rxn07303	
K12640	rxn14110	
K12640	rxn14166	
K12640	rxn30826	
K12643	rxn00725
K11311	rxn00594	
K11311	rxn00595
K12645	rxn14215	
K12645	rxn15821	
K12645	rxn15822	
K12645	rxn15823	
K12645	rxn15824
K12644	rxn05016
K00694	rxn31840
K00695	rxn33446
K00692	rxn06618
K00693	rxn05800
K00690	rxn00577
K00691	rxn15222
K00698	rxn06153
K00699	rxn01697	
K00699	rxn01721	
K00699	rxn01795
K00699	rxn01812	
K00699	rxn02078	
K00699	rxn02217	
K00699	rxn03024	
K00699	rxn03025	
K00699	rxn03026	
K00699	rxn03202	
K00699	rxn04909	
K00699	rxn11787	
K00699	rxn11789	
K00699	rxn11790	
K00699	rxn11791	
K00699	rxn14014	
K00699	rxn15770	
K00699	rxn16263	
K00699	rxn16264	
K00699	rxn16265	
K00696	rxn15062
K00697	rxn35505
K09020	rxn16794	
K09020	rxn16826
K09021	rxn16828
K13980	rxn05871	
K13980	rxn11809	
K13980	rxn11834	
K13980	rxn11838	
K13980	rxn32074
K13980	rxn32682	
K13980	rxn38034	
K13980	rxn38318	
K09024	rxn16776
K09023	rxn16829
K12658	rxn02360
K12657	rxn34567
K12657	rxn38123	
K13988	rxn28560
K12659	rxn30332
K12659	rxn30339	
K13987	rxn28560
K00684	rxn06491
K00681	rxn02791	
K00681	rxn05952	
K00681	rxn06025	
K00681	rxn06817	
K00681	rxn11997	
K00681	rxn31443	
K00681	rxn31675
K00681	rxn33431	
K00682	rxn01981	
K00682	rxn06472
K09018	rxn16776
K00689	rxn06050
K00689	rxn15569	
K00688	rxn31426
K00685	rxn11996
K09019	rxn16149
K22093	rxn03211
K22093	rxn06501	
K22086	rxn05869
K22085	rxn05869
K22084	rxn05869
K22083	rxn01160
K22089	rxn03218	
K22089	rxn25080	
K22089	rxn25081
K22089	rxn27287	
K22087	rxn05869
K22099	rxn15454	
K22099	rxn19488
K22099	rxn30129	
K22064	rxn14215
K22065	rxn01661
K22082	rxn01160
K22081	rxn01160
K11395	rxn00783	
K11395	rxn03884
K11395	rxn32050	
K11391	rxn07214
K11394	rxn06358
K22049	rxn07447
K22050	rxn04019
K01909	rxn05996
K01908	rxn28089	
K01908	rxn35418	
K01908	rxn35424
K01907	rxn00988
K01906	rxn02296
K01905	rxn00669
K01905	rxn31758	
K01904	rxn01427	
K01904	rxn01613	
K01904	rxn33539	
K01904	rxn33556	
K01904	rxn33619
K01904	rxn33659	
K01903	rxn28991	
K01903	rxn30152
K01902	rxn28991	
K01902	rxn30152
K01900	rxn27228
K01900	rxn33785	
K13950	rxn20499
K00639	rxn35211
K01969	rxn27997
K13953	rxn04726	
K13953	rxn05871	
K13953	rxn11809	
