ko	rxn	ModelSeed_ID
K13812	R08058	rxn07847
K00192	R07157	rxn07189
K00195	R07157	rxn07189
K00196	R07157	rxn07189
K00198	R07157	rxn07189
K03396	R06982	rxn04791
K00121	R06983	rxn04792
K01070	R00527	rxn00377
K00200	R08060	rxn07849
K00201	R08060	rxn07849
K00202	R08060	rxn07849
K00203	R08060	rxn07849
K00204	R08060	rxn07849
K00205	R08060	rxn07849
K11261	R08060	rxn07849
K11260	R08060	rxn07849
K00600	R09099	rxn15964
K01457	R00005	rxn00002
K14541	R00005	rxn00002
K14080	R09098	rxn10568
K04480	R09098	rxn10568
K14081	R09098	rxn10568
K01619	R01066	rxn00784
K01839	R02749	rxn01986
K15779	R02749	rxn01986
K22199	R02749	rxn01986
K00852	R01051	rxn00772
K01839	R01057	rxn00778
K15779	R01057	rxn00778
K22199	R01057	rxn00778
K01835	R01057	rxn00778
K15778	R01057	rxn00778
K05774	R06836	rxn04651
K10218	R00008	rxn00004
K22005	R11750	
K18290	R02491	rxn01805
K18291	R02491	rxn01805
K18288	R02404	rxn01731
K18288	R02407	rxn01734
K18289	R02404	rxn01731
K18289	R02407	rxn01734
K01902	R02404	rxn01731
K01902	R02407	rxn01734
K01903	R02404	rxn01731
K01903	R02407	rxn01734
K22004	R11749	
K17724	R02243	rxn01605
K22002	R02244	rxn01606
K22003	R02244	rxn01606
K17829	R09738	rxn16586
K14534	R03031	rxn02171
K07246	R00215	rxn00160
K01799	R01087	rxn00803
K21317	R11448	
K21318	R11448	
K21319	R11448	
K21320	R11448	
K21321	R11448	
K21322	R11448	
K00100	R03544	rxn02527
K00100	R03545	rxn02528
K05973	R05118	rxn06858
K07518	R00048	rxn00038
K01782	R03276	rxn02345
K01825	R03276	rxn02345
K00109	R03534	rxn02519
K01039	R04000	rxn02810
K01040	R04000	rxn02810
K23259	R01550	rxn01130
K23259	R10703	rxn40442
K18382	R01550	rxn01130
K18382	R10703	rxn40442
K18369	R01550	rxn01130
K18369	R10703	rxn40442
K18370	R01550	rxn01130
K18370	R10703	rxn40442
K18223	R10702	rxn40441
K18224	R10702	rxn40441
K18226	R10702	rxn40441
K18225	R10702	rxn40441
K18372	R10705	rxn40444
K18371	R10704	rxn40443
K01034	R00410	rxn00290
K01034	R01357	rxn00988
K01034	R01358	rxn00989
K01034	R01359	rxn00990
K01035	R00410	rxn00290
K01035	R01357	rxn00988
K01035	R01358	rxn00989
K01035	R01359	rxn00990
K19709	R00410	rxn00290
K19709	R01357	rxn00988
K19709	R01358	rxn00989
K19709	R01359	rxn00990
K01907	R00410	rxn00290
K01907	R01357	rxn00988
K01907	R01358	rxn00989
K01907	R01359	rxn00990
K01027	R00410	rxn00290
K01027	R01357	rxn00988
K01027	R01358	rxn00989
K01027	R01359	rxn00990
K01028	R00410	rxn00290
K01028	R01357	rxn00988
